,nb_ite,timer_LM_v1,perf_LM_v1,timer_LM_v2,perf_LM_v2,timer_LM_v3,perf_LM_v3,timer_json_v1,perf_json_v1,timer_json_v3,perf_json_v3,timer_var_v1,perf_var_v1,timer_var_v2,perf_var_v2,timer_var_v3,perf_var_v3
19,1930,1.47,0.00015484322816226027,1.71,0.00022053161070294535,3.29,0.0009706250639195168,1.29,3.724996798012403,3.35,3.4643685169795857,1.52,0.00023080141530762432,1.66,0.0003284055477205783,3.02,0.00031249609401751144
20,2030,1.58,0.0003230109773371126,1.78,0.00031015858856005,3.18,0.0005221959802113041,1.34,3.4260954598958904,3.42,2.8766131116739713,1.58,0.000594761865897464,1.74,0.00018159766101515372,3.21,0.0005018459622126769
21,2130,1.64,9.446598580309384e-05,1.87,0.00023271570654790353,3.32,0.0006014517475531278,1.36,2.2772452017394977,3.43,3.196164334398783,1.64,0.00017591415862039383,1.83,0.0003231437046288477,3.21,0.0003692677055346039
22,2230,1.76,0.00025249972912790854,1.96,0.0002401985821142816,3.34,0.0004239130425768067,1.46,3.5590416335801267,3.43,2.1396930143886497,1.73,0.000377232460067578,1.92,0.0003428829083698126,3.3,0.00011484404609989341
23,2330,1.81,0.00018236495712962154,2.04,0.000535495038619338,3.29,0.00017494905053210273,1.52,2.6530770907887153,3.39,2.6295252188885763,1.8,0.0003016489770895525,1.99,0.00020068133141109,3.22,0.00018384318145816536
24,2430,1.9,0.00031765782203301284,2.13,0.00019321856645113656,3.25,0.0004824554327000463,1.61,2.1172075224501805,3.57,3.7261455531128505,1.91,0.0005775795177166643,2.1,0.0004975611192517881,3.34,0.0008036930194267988
25,2530,2.0,0.00019502121288859087,2.21,0.0002045915960517064,3.29,0.00035037348217583644,1.67,3.424059620288543,3.47,3.4636775039645578,1.96,8.661390890436493e-05,2.17,0.0002496469862767192,3.34,0.00012220704257579485
26,2630,2.07,0.0003663327623478985,2.3,9.261664173774165e-05,3.39,0.00012418442691579655,1.74,3.091688614421736,3.66,2.8410679744752096,2.05,0.00011807610792473611,2.26,0.00021086694379688354,3.37,0.0002526011897961311
27,2730,2.2,0.0001610494189707268,2.39,9.98947655268978e-05,3.37,5.979340946797862e-05,1.82,4.596767704029729,3.52,3.802751545502389,2.14,0.0001659865039917996,2.33,0.0001521359348096496,3.34,0.00026675489639025327
28,2830,2.26,0.00020489356489177267,2.48,0.00015991571170257402,3.38,0.00014060242523434853,1.91,3.300847505874703,3.51,3.6230258240605364,2.21,0.0002223003710160043,2.48,0.00019293130677890957,3.41,0.00014828305859726498
