,nb_part,timer_LM_v1,perf_LM_v1,timer_LM_v2,perf_LM_v2,timer_LM_v3,perf_LM_v3,timer_json_v1,perf_json_v1,timer_json_v3,perf_json_v3,timer_var_v1,perf_var_v1,timer_var_v2,perf_var_v2,timer_var_v3,perf_var_v3
31,320,12.01,0.0020846222510190414,14.07,0.0017792647573655006,6.1,0.00196359472249496,10.2,3.242443246656241,7.85,3.4202821478217738,12.03,0.0016746363977874878,13.88,0.0020478102613352422,6.08,0.002300919390081024
32,330,12.57,0.0015857804022861189,14.49,0.0012162424326375308,6.27,0.0017924805780955135,10.55,3.2975429085518035,8.29,3.1876834301045993,12.26,0.0018978746759880558,14.67,0.0021720049438520156,6.73,0.0019185821832161233
33,340,13.27,0.0019100477320576424,15.02,0.0019785180602136885,6.79,0.001987855477461252,11.35,3.418833182841994,8.29,3.221929361956062,12.84,0.002154680529088715,14.63,0.0018603883945900494,6.73,0.001562199998654509
34,350,13.28,0.0019311695930194668,15.48,0.0016520956857662484,6.84,0.001862970314170066,11.2,3.4710607661050927,8.54,3.227694826508049,13.13,0.001802047622667194,15.24,0.002241872173407182,6.63,0.0019994238487718516
35,360,13.65,0.001573069993706423,15.8,0.0017570001446106235,6.73,0.0018500986873228036,11.5,3.3541329264944806,8.43,3.6155628231698964,13.46,0.002404847145394494,15.69,0.0017925943068014662,6.76,0.0016979181136854383
36,370,14.03,0.0023267219616058977,16.47,0.001708832944218284,6.93,0.0017525120931917585,11.87,3.259400213302507,9.0,3.413052337411982,14.0,0.001975983687407524,16.03,0.0017995851127573376,6.78,0.001952491497978742
37,380,14.49,0.0016935219311743882,16.63,0.001726374565187446,6.92,0.0016077114707740033,12.35,3.439614226120324,8.86,3.48201835655576,14.33,0.002322732415080066,16.36,0.002290598305234999,6.75,0.0014581560987431633
38,390,14.91,0.0015307195603638272,16.89,0.0021036523233942004,7.33,0.002282196108564527,12.56,3.4235894066918133,9.16,3.279116971037199,14.58,0.0019161056377024867,17.01,0.0018352179051092138,7.69,0.0017246486894367335
39,400,15.15,0.0018024863173352168,17.87,0.0014881959978086678,7.48,0.0016110304630562622,12.89,3.3961465892132088,10.0,3.273516593128121,15.03,0.0018363602103799348,17.62,0.0017179412359107804,7.33,0.0015263228429565157
40,410,15.7,0.0018885073819125313,18.16,0.0020748330282623554,7.87,0.001907276106805832,13.3,3.1889861883752015,9.46,3.460168322403705,15.57,0.0018858745681203325,17.97,0.002041498012875456,7.9,0.002159934486444241
41,420,15.96,0.0017150543884437211,18.65,0.001520952920015363,7.53,0.0016558606714321257,13.72,3.368767241862263,10.1,3.3850852493523806,15.92,0.0018612524144680156,18.5,0.0022386902882400605,7.73,0.001498126263958782
42,430,16.57,0.0016457708867892225,19.16,0.0017643978260288118,7.9,0.0018976965057152905,14.86,3.3553219347546284,12.92,3.4295810863528886,17.17,0.0016779276686073026,19.49,0.0022142416215555553,8.99,0.0019129681860523065
43,440,17.34,0.001566291264470349,20.49,0.001852455766800261,8.37,0.001864968569195291,14.59,3.224726096486166,11.05,3.5815205677946564,16.69,0.0012958542511283175,19.32,0.0016221552860335674,7.8,0.0022030979792394445
44,450,17.51,0.0018752434653596872,19.69,0.0019402989597636852,8.01,0.0018369504641774586,14.82,3.3929293552276087,10.54,3.2196165191628325,17.14,0.0017583463022546693,19.46,0.0015930610123766047,7.83,0.0018345481518793525
45,460,17.85,0.0017468246308273178,19.9,0.00180864489396543,8.06,0.0017132697055861296,14.92,3.46518469070559,10.09,3.658398492698238,17.54,0.0019206202706314186,19.82,0.0017364573216634954,7.66,0.001947649649002742
46,470,18.08,0.0018648174332536363,20.45,0.0013513817550988728,7.75,0.0015524336046428243,15.38,3.519182845835839,10.37,3.064140423404323,17.92,0.0014839658998723017,20.3,0.0018896073735364812,7.96,0.0016873385281896127
47,480,18.19,0.001721184126575359,20.91,0.002095907124165175,7.72,0.001990154234396835,16.67,3.2985281598201803,11.04,3.277117053875432,18.26,0.002060682876549506,20.74,0.0016164558588288654,7.79,0.0017106067723718108
48,490,18.93,0.0019471778424887762,21.34,0.0019877843981099593,8.54,0.0017223762947620742,15.97,3.278667276222264,10.75,3.461247166354117,18.68,0.002006358304662325,21.29,0.0017604083386687014,8.18,0.0017688162118010657
